album,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Rainbow Connection,The Muppets,spotify:track:1SJ4ycWow4yz6z4oFz8NAG,0.526,0.413,9,-7.674,1,0.0278,0.428,0.0,0.126,0.211,115.936
Somewhere Over The Rainbow_What A Wonderful World,Israel Kamakawiwo'ole,spotify:track:25U7raB3ZSszayTYClh4hF,0.663,0.168,0,-13.725,1,0.0448,0.928,5.68e-05,0.361,0.678,85.005
What a Wonderful World,Joey Ramone,spotify:track:04cdEVbQPb8BJb7593e5fO,0.422,0.878,5,-4.863,1,0.0442,0.00935,0.332,0.201,0.496,84.044
One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],Asaf Avidan & the Mojos,spotify:track:5HSkycOEtb9iQ7cg1Oyqmu,0.821,0.676,3,-6.366,0,0.0547,0.187,0.0001,0.0927,0.559,119.012
What A Wonderful World - Single Version,Louis Armstrong,spotify:track:2pp3RfqX5cb1BAnmNi4Nej,0.388,0.327,5,-12.522,1,0.0317,0.732,0.00103,0.15,0.222,107.894
Homecoming,Green Day,spotify:track:4wH29TM74O3788Kn1KzWuY,0.296,0.929,9,-3.068,1,0.0751,0.000722,5.83e-06,0.349,0.411,123.709
Wake Me up When September Ends,Green Day,spotify:track:3ZffCQKLFLUvYM59XKLbVm,0.546,0.814,7,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98
Jesus of Suburbia,Green Day,spotify:track:58KPPL1AdLHMvR2O2PZejr,0.3,0.929,1,-3.214,1,0.0636,0.000259,2.26e-06,0.329,0.59,147.116
Not Afraid,Eminem,spotify:track:7Ie9W94M7OjPoZVV216Xus,0.855,0.954,0,-1.19,0,0.264,0.529,0.0,0.205,0.668,114.635
God & Satan,Biffy Clyro,spotify:track:6aihKTSpfxixl9uqm4hNEy,0.726,0.542,7,-9.523,1,0.03,0.327,0.0,0.146,0.305,120.201
Softer to Me,Relient K,spotify:track:5PMA1s2sfSlZWTB4XjEGfo,0.302,0.692,8,-5.848,1,0.0311,0.000535,0.533,0.153,0.259,158.325
Longview,Green Day,spotify:track:3LRJbFT9rKoKv4aW7PuBJC,0.381,0.732,10,-7.594,0,0.0536,0.00834,0.0101,0.0854,0.814,142.504
Somebody That I Used to Know (Dubstep Remix),Dubstep Mafia,spotify:track:2KzIsNi9E7H74h0oVX9JzY,0.629,0.718,9,-6.557,0,0.035,0.011,0.000211,0.152,0.0611,140.02
Somebody That I Used To Know - Bombs Away Dubstep Remix,The Westside Gaming,spotify:track:3NdAXnoxuXuIM74oQWVAna,0.747,0.561,0,-14.553,1,0.204,0.0877,3.02e-05,0.076,0.644,141.034
Love You Like A Love Song,Selena Gomez & The Scene,spotify:track:0laYHRpNTS6i8FXdupHkJ4,0.858,0.678,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009
We Are Young (feat. Janelle Monáe),fun.,spotify:track:7a86XRg84qjasly9f6bPSD,0.378,0.638,10,-5.576,1,0.075,0.02,7.66e-05,0.0849,0.735,184.086
Grenade,Bruno Mars,spotify:track:2tJulUYLDKOg9XrtVkMgcJ,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444
