song_title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
rainbow connection,The Muppets,spotify:track:1SJ4ycWow4yz6z4oFz8NAG,0.526,0.413,9,-7.6739999999999995,1,0.0278,0.428,0.0,0.126,0.21100000000000002,115.936,1
somewhere over the rainbow_what a wonderful world,Israel Kamakawiwo'ole,spotify:track:25U7raB3ZSszayTYClh4hF,0.6629999999999999,0.168,0,-13.725,1,0.0448,0.9279999999999999,5.68e-05,0.361,0.6779999999999999,85.005,1
what a wonderful world,Joey Ramone,spotify:track:04cdEVbQPb8BJb7593e5fO,0.42200000000000004,0.878,5,-4.863,1,0.0442,0.00935,0.332,0.201,0.496,84.044,0
one day / reckoning song (wankelmut remix) [radio edit],Asaf Avidan & the Mojos,spotify:track:5HSkycOEtb9iQ7cg1Oyqmu,0.821,0.6759999999999999,3,-6.3660000000000005,0,0.0547,0.187,0.0001,0.0927,0.5589999999999999,119.012,0
what a wonderful world - single version,Louis Armstrong,spotify:track:2pp3RfqX5cb1BAnmNi4Nej,0.38799999999999996,0.327,5,-12.522,1,0.0317,0.732,0.00103,0.15,0.222,107.89399999999999,1
homecoming,Green Day,spotify:track:4wH29TM74O3788Kn1KzWuY,0.29600000000000004,0.929,9,-3.068,1,0.0751,0.000722,5.83e-06,0.349,0.41100000000000003,123.709,0
wake me up when september ends,Green Day,spotify:track:3ZffCQKLFLUvYM59XKLbVm,0.546,0.8140000000000001,7,-5.146,1,0.0314,0.023,0.0,0.0972,0.146,104.98,0
jesus of suburbia,Green Day,spotify:track:58KPPL1AdLHMvR2O2PZejr,0.3,0.929,1,-3.214,1,0.0636,0.000259,2.26e-06,0.32899999999999996,0.59,147.116,0
not afraid,Eminem,spotify:track:7Ie9W94M7OjPoZVV216Xus,0.855,0.9540000000000001,0,-1.19,0,0.264,0.529,0.0,0.205,0.6679999999999999,114.635,0
god & satan,Biffy Clyro,spotify:track:6aihKTSpfxixl9uqm4hNEy,0.726,0.542,7,-9.523,1,0.03,0.327,0.0,0.146,0.305,120.20100000000001,1
softer to me,Relient K,spotify:track:5PMA1s2sfSlZWTB4XjEGfo,0.302,0.6920000000000001,8,-5.848,1,0.0311,0.000535,0.5329999999999999,0.153,0.259,158.325,2
longview,Green Day,spotify:track:3LRJbFT9rKoKv4aW7PuBJC,0.381,0.732,10,-7.593999999999999,0,0.0536,0.00834,0.0101,0.0854,0.8140000000000001,142.504,0
somebody that i used to know (dubstep remix),Dubstep Mafia,spotify:track:2KzIsNi9E7H74h0oVX9JzY,0.629,0.718,9,-6.557,0,0.035,0.011000000000000001,0.00021099999999999998,0.152,0.0611,140.02,0
somebody that i used to know - bombs away dubstep remix,The Westside Gaming,spotify:track:3NdAXnoxuXuIM74oQWVAna,0.747,0.561,0,-14.552999999999999,1,0.204,0.0877,3.02e-05,0.076,0.644,141.034,0
love you like a love song,Selena Gomez & The Scene,spotify:track:0laYHRpNTS6i8FXdupHkJ4,0.858,0.6779999999999999,1,-3.87,0,0.0469,0.0761,0.0,0.0741,0.922,117.009,0
we are young (feat. janelle monáe),fun.,spotify:track:7a86XRg84qjasly9f6bPSD,0.37799999999999995,0.638,10,-5.5760000000000005,1,0.075,0.02,7.659999999999999e-05,0.0849,0.735,184.08599999999998,0
