title,artist
Easy On Me,Adele
Do It To It (feat. Cherish),Acraze
Dat Heb Jij Gedaan,MEAU
Cold Heart (PNAU Remix),Elton John & Dua Lipa
Better Days,Dermot Kennedy
Moth To A Flame,Swedish House Mafia & The Weeknd
Hold On,Adele
The Motto,Tiësto & Ava Max
Hold Me,The Teskey Brothers
Ons Moeder Zeej Nog,Jan Biggel
Schiddi Widdi Witt,Gino Graus
I Drink Wine,Adele
Hard To Say Goodbye,RONDÉ
Three Little Birds,Bob Marley & The Wailers
Misschien Huil Ik Niet Hard Genoeg,Bolland & Bolland
Thunder,"Gabry Ponte, LUM!X & Prezioso"
Mañana,Evert Van Huygevoort
Baby Lekker Ding,Jeffrey Heesen
Everybody Needs Somebody To Love,Danny Froger & Wesley Klein
To Be Loved,Adele
Overpass Graffiti,Ed Sheeran
Alle Remmen Los,Helemaal Hollands
Only You,Rene Le Blanc
Dopamine (feat. Eyelar),Purple Disco Machine
Love Is A Game,Adele
Can I Get It,Adele
Neem Er Één Van Mij,Mart Hoogkamer
Skyfall,Adele
Rolling In the Deep,Adele
Hello,Adele
Nothing Else Matters,Metallica
Bohemian Rhapsody,Queen
Happy Birthday,Stevie Wonder
Santa Tell Me,Ariana Grande
Tears In Heaven,Eric Clapton
Stairway to Heaven,Led Zeppelin
Pepas,Farruko
Born Slippy (Nuxx),Underworld
Shivers,Ed Sheeran
Tot Over M'n Oren,Bob Offenberg
Where Are You Now,Lost Frequencies & Calum Scott
Talk About,Rain Radio & DJ Craig Gorman
Ja Wie Niet Springt (Die Moet Betalen),Gebroeders Ko
My Universe,Coldplay X BTS
Coming Home With Santa,OG3NE
Everywhere (BBC Children In Need),Niall Horan & Anne-Marie
In De Nacht,Yade Lauren
It's Beginning to Look a Lot like Christmas,Michael Bublé
STAR,ONEWE
I'll Never Love Again (Film Version),Lady Gaga & Bradley Cooper
Ablaze,Alanis Morissette
Shivers (feat. Jessi & SUNMI),Ed Sheeran
Vivo,Andrea Laszlo De Simone
Carol of the Bells,August Burns Red
So Much To Say,Aaron Carter
